Date,Bullish Intensity,Bearish Intensity,Bull - Bear,Bullish Messages,Bearish Messages,Total Messages
2015-06-29,2.1,0.0,2.1,1.0,0.0,7.0
2015-06-28,0.0,0.0,0.0,0.0,0.0,3.0
2015-06-27,2.2,0.0,2.2,1.0,0.0,2.0
2015-06-26,0.0,2.17,-2.17,0.0,1.0,3.0
2015-06-25,0.0,0.0,0.0,0.0,0.0,4.0
2015-06-24,0.0,0.0,0.0,0.0,0.0,2.0
2015-06-23,0.0,0.0,0.0,0.0,0.0,2.0
2015-06-22,2.5,0.0,2.5,1.0,0.0,3.0
2015-06-21,0.0,0.0,0.0,0.0,0.0,1.0
2015-06-20,0.0,0.0,0.0,0.0,0.0,1.0
2015-06-19,2.11,0.0,2.11,1.0,0.0,3.0
2015-06-18,0.97,0.0,0.97,1.0,0.0,5.0
2015-06-17,2.82,1.75,1.07,2.0,1.0,7.0
2015-06-16,2.0,0.0,2.0,3.0,0.0,4.0
2015-06-15,0.0,0.0,0.0,0.0,0.0,1.0
2015-06-13,0.0,0.0,0.0,0.0,0.0,3.0
2015-06-12,0.0,0.0,0.0,0.0,0.0,2.0
2015-06-11,0.0,3.22,-3.22,0.0,1.0,3.0
2015-06-10,0.0,0.0,0.0,0.0,0.0,3.0
2015-06-09,0.0,0.0,0.0,0.0,0.0,4.0
2015-06-08,2.475,1.6,0.875,2.0,1.0,4.0
2015-06-07,0.0,0.0,0.0,0.0,0.0,2.0
2015-06-05,0.0,0.0,0.0,0.0,0.0,2.0
2015-06-04,0.0,0.0,0.0,0.0,0.0,2.0
2015-06-03,0.0,1.25,-1.25,0.0,1.0,3.0
2015-06-02,0.0,2.01,-2.01,0.0,1.0,4.0
2015-06-01,0.0,1.67,-1.67,0.0,1.0,3.0
2015-05-30,3.03,3.165,-0.135,1.0,2.0,3.0
2015-05-29,1.57,0.0,1.57,1.0,0.0,3.0
2015-05-28,0.0,0.0,0.0,0.0,0.0,2.0
2015-05-27,3.11,2.89,0.22,1.0,1.0,4.0
2015-05-26,0.0,0.0,0.0,0.0,0.0,2.0
2015-05-23,1.0,0.0,1.0,2.0,0.0,3.0
2015-05-22,0.0,0.0,0.0,0.0,0.0,1.0
2015-05-21,0.0,0.0,0.0,0.0,0.0,5.0
2015-05-20,0.0,0.0,0.0,0.0,0.0,3.0
2015-05-19,0.0,0.0,0.0,0.0,0.0,7.0
2015-05-18,0.0,2.39,-2.39,0.0,1.0,4.0
2015-05-17,0.0,0.0,0.0,0.0,0.0,2.0
2015-05-15,0.0,0.0,0.0,0.0,0.0,5.0
2015-05-14,0.0,0.0,0.0,0.0,0.0,1.0
2015-05-12,1.22,0.0,1.22,1.0,0.0,5.0
2015-05-11,0.0,0.0,0.0,0.0,0.0,4.0
2015-05-10,2.17,0.0,2.17,1.0,0.0,3.0
2015-05-09,0.0,0.0,0.0,0.0,0.0,1.0
2015-05-08,0.0,0.0,0.0,0.0,0.0,3.0
2015-05-07,0.0,0.0,0.0,0.0,0.0,1.0
2015-05-05,0.0,0.0,0.0,0.0,0.0,1.0
2015-05-04,0.0,0.0,0.0,0.0,0.0,3.0
2015-05-03,2.1,0.0,2.1,1.0,0.0,1.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,3.0
2015-04-30,0.0,0.0,0.0,0.0,0.0,3.0
2015-04-29,0.0,0.0,0.0,0.0,0.0,4.0
2015-04-28,0.0,0.0,0.0,0.0,0.0,5.0
2015-04-27,0.0,0.0,0.0,0.0,0.0,1.0
2015-04-26,0.3,0.0,0.3,1.0,0.0,2.0
2015-04-25,0.0,0.0,0.0,0.0,0.0,1.0
2015-04-24,0.0,0.0,0.0,0.0,0.0,1.0
2015-04-23,0.0,0.0,0.0,0.0,0.0,1.0
2015-04-22,0.0,0.0,0.0,0.0,0.0,1.0
2015-04-21,0.0,0.0,0.0,0.0,0.0,2.0
2015-04-19,0.0,2.22,-2.22,0.0,1.0,2.0
2015-04-18,0.0,0.0,0.0,0.0,0.0,2.0
2015-04-17,0.0,2.75,-2.75,0.0,1.0,6.0
2015-04-16,0.0,0.0,0.0,0.0,0.0,1.0
2015-04-15,0.0,0.0,0.0,0.0,0.0,1.0
2015-04-14,0.0,0.0,0.0,0.0,0.0,2.0
2015-04-13,0.78,0.0,0.78,1.0,0.0,1.0
2015-04-10,1.83,0.0,1.83,2.0,0.0,4.0
2015-04-09,0.75,0.0,0.75,1.0,0.0,3.0
2015-04-08,0.71,0.89,-0.18,1.0,1.0,2.0
2015-04-07,0.0,0.0,0.0,0.0,0.0,1.0
2015-04-06,0.0,2.21,-2.21,0.0,2.0,6.0
2015-04-05,0.0,0.0,0.0,0.0,0.0,2.0
2015-04-04,0.0,0.0,0.0,0.0,0.0,2.0
2015-04-03,0.0,0.0,0.0,0.0,0.0,2.0
2015-04-02,2.0,0.0,2.0,1.0,0.0,1.0
2015-04-01,0.11,3.11,-3.0,1.0,1.0,5.0
2015-03-31,0.11,0.0,0.11,1.0,0.0,2.0
2015-03-30,0.11,0.0,0.11,1.0,0.0,6.0
2015-03-29,0.11,0.0,0.11,1.0,0.0,2.0
2015-03-28,0.0,0.0,0.0,0.0,0.0,2.0
2015-03-27,0.73,3.11,-2.38,1.0,1.0,7.0
2015-03-26,0.11,0.0,0.11,1.0,0.0,4.0
2015-03-25,0.815,2.74,-1.925,2.0,1.0,4.0
2015-03-24,0.11,1.4,-1.29,1.0,1.0,5.0
2015-03-23,0.0,0.0,0.0,0.0,0.0,3.0
2015-03-22,0.0,0.0,0.0,0.0,0.0,1.0
2015-03-21,0.0,0.0,0.0,0.0,0.0,1.0
2015-03-20,0.0,0.0,0.0,0.0,0.0,5.0
2015-03-18,2.04,0.0,2.04,1.0,0.0,2.0
2015-03-17,0.0,0.0,0.0,0.0,0.0,3.0
2015-03-16,0.0,0.0,0.0,0.0,0.0,1.0
2015-03-14,0.0,0.0,0.0,0.0,0.0,1.0
2015-03-13,0.0,0.0,0.0,0.0,0.0,2.0
2015-03-12,2.31,0.0,2.31,1.0,0.0,3.0
2015-03-11,0.0,0.0,0.0,0.0,0.0,2.0
2015-03-10,1.565,0.0,1.565,2.0,0.0,5.0
2015-03-09,2.04,0.0,2.04,1.0,0.0,3.0
2015-03-08,0.0,0.0,0.0,0.0,0.0,1.0
2015-03-07,1.9,0.0,1.9,2.0,0.0,2.0
2015-03-06,0.73,0.0,0.73,1.0,0.0,2.0
2015-03-05,0.73,0.45,0.28,2.0,1.0,6.0
2015-03-04,0.79,0.0,0.79,1.0,0.0,3.0
2015-03-03,2.265,1.465,0.8,2.0,2.0,7.0
2015-03-02,1.733333,0.0,1.733333,3.0,0.0,6.0
2015-03-01,1.606667,0.0,1.606667,3.0,0.0,5.0
2015-02-28,2.2,0.0,2.2,1.0,0.0,1.0
2015-02-27,1.875,0.0,1.875,2.0,0.0,5.0
2015-02-26,2.38,0.0,2.38,1.0,0.0,1.0
2015-02-25,0.0,0.0,0.0,0.0,0.0,4.0
2015-02-24,0.0,0.0,0.0,0.0,0.0,4.0
2015-02-23,0.9,0.0,0.9,1.0,0.0,1.0
2015-02-22,0.0,0.0,0.0,0.0,0.0,1.0
2015-02-21,2.57,0.0,2.57,1.0,0.0,3.0
2015-02-20,2.36,0.0,2.36,1.0,0.0,3.0
2015-02-19,0.86,0.0,0.86,1.0,0.0,2.0
2015-02-18,0.0,0.0,0.0,0.0,0.0,6.0
2015-02-17,1.0,0.0,1.0,1.0,0.0,9.0
2015-02-16,1.8,0.0,1.8,1.0,0.0,1.0
2015-02-15,0.0,0.0,0.0,0.0,0.0,1.0
2015-02-14,0.0,1.89,-1.89,0.0,1.0,2.0
2015-02-13,0.3,0.0,0.3,1.0,0.0,4.0
2015-02-12,0.0,1.6,-1.6,0.0,1.0,4.0
2015-02-11,0.0,0.0,0.0,0.0,0.0,2.0
2015-02-10,1.16,0.0,1.16,2.0,0.0,4.0
2015-02-09,0.0,2.3,-2.3,0.0,1.0,5.0
2015-02-08,2.38,0.0,2.38,1.0,0.0,2.0
2015-02-07,0.0,0.0,0.0,0.0,0.0,1.0
2015-02-06,0.0,0.0,0.0,0.0,0.0,1.0
2015-02-05,0.0,0.0,0.0,0.0,0.0,1.0
2015-02-04,1.78,2.9,-1.12,1.0,1.0,5.0
2015-02-03,0.67,0.0,0.67,1.0,0.0,3.0
2015-02-02,0.0,0.0,0.0,0.0,0.0,1.0
2015-02-01,0.0,2.17,-2.17,0.0,1.0,5.0
2015-01-31,0.0,3.22,-3.22,0.0,1.0,1.0
2015-01-30,0.0,0.0,0.0,0.0,0.0,3.0
2015-01-29,0.0,0.0,0.0,0.0,0.0,7.0
2015-01-28,0.0,1.806667,-1.806667,0.0,3.0,6.0
2015-01-27,2.49,2.8,-0.31,1.0,1.0,10.0
2015-01-26,2.01,1.145,0.865,4.0,2.0,16.0
2015-01-25,0.913333,0.0,0.913333,3.0,0.0,12.0
2015-01-24,1.54,0.0,1.54,2.0,0.0,4.0
2015-01-23,2.75,0.0,2.75,1.0,0.0,7.0
2015-01-22,0.0,0.0,0.0,0.0,0.0,2.0
2015-01-21,1.343333,0.0,1.343333,3.0,0.0,4.0
2015-01-20,2.18,2.0,0.18,3.0,1.0,7.0
2015-01-19,0.0,2.595,-2.595,0.0,2.0,14.0
2015-01-18,0.0,0.0,0.0,0.0,0.0,4.0
2015-01-16,1.75,0.0,1.75,1.0,0.0,4.0
2015-01-15,1.0,1.365,-0.365,1.0,2.0,11.0
2015-01-14,1.29,1.890833,-0.600833,5.0,12.0,42.0
2015-01-13,0.983333,2.363333,-1.38,6.0,6.0,24.0
2015-01-12,0.5,0.0,0.5,1.0,0.0,5.0
2015-01-11,1.943333,0.0,1.943333,3.0,0.0,5.0
2015-01-10,2.09,0.0,2.09,1.0,0.0,4.0
2015-01-09,0.0,3.11,-3.11,0.0,1.0,7.0
2015-01-08,0.0,0.0,0.0,0.0,0.0,2.0
2015-01-07,2.07,0.44,1.63,2.0,1.0,10.0
